,Buffer Size = 60000,Buffer Size = 80000,Buffer Size = 100000,Buffer Size = 120000
0,-351.73497165836955,-169.08744168066664,-635.8307036558882,-435.29494531972523
1,-228.67728153548921,-276.1938585766367,-626.5090692657371,-389.6992075520736
2,-39.48077519818992,-282.15630498754797,-563.0740993561933,-717.3698990114326
3,-372.7916000895033,-343.0912136820249,-765.7560195791742,-612.7718065350282
4,-324.4339492267269,-94.03309873568566,-778.2456490120826,-537.528829511373
5,-273.3763164617613,-236.2684728302681,-404.077403696808,-701.4850864147832
6,-178.8684044831632,-385.6624959768886,-763.2142950489892,-673.0889039583049
7,-272.6773711047127,-155.1391804515962,-1278.3608880267761,-544.8129881936834
8,-684.1382139318931,-379.814622281191,-533.019189852273,-558.4266497337119
9,-455.5875080439501,-366.44386974725273,-171.88924940146634,-663.2343474547276
10,-412.46316694806256,-135.2558858507752,-267.44943588070134,-581.634441199375
11,-348.02818168139504,-132.0314607001767,-45.781963912391106,-595.9776456555644
12,-260.3077892297356,-324.5310190855886,-24.883363540294525,-589.1987073350161
13,-292.79772647042057,-308.7694197253275,-546.0845595081976,-590.2161769942509
14,-82.88799746580393,-374.3129848049024,-16.26747117553765,-662.3633647153446
15,-108.82100995485172,-128.03698840714614,-197.97932557983614,-203.69725094010664
16,-3.1003891571832582,-501.22848710964104,-295.56920514751386,-45.78112774692298
17,-80.29753923538101,-182.6398206496904,-10.848764870740425,-110.55289781070027
18,-198.45227142777554,20.417243159587812,-365.0213926559536,-112.14763988941678
19,-302.21092360170314,-139.63256842390186,-250.8128193227183,-122.10293068953101
20,-153.44921737342682,-168.82620080655602,-246.97076726215622,-125.94626975437302
21,-63.08900709903878,-158.38876912590112,-295.0329468048788,-127.27537357387857
22,-148.51647737295895,-137.1512143587623,-162.64650615285802,-106.02114125687407
23,-96.13608501231668,-183.94566178858904,-138.05895031013725,-106.8827753427903
24,-326.4375062408783,-150.30982724143684,-332.7240329498785,-213.38204403188615
25,-186.24790472856847,-181.70426770430544,-149.95740115858726,-115.65595729410845
26,-160.33832971993695,-82.42178969575362,-147.24887767454805,-111.02877407967208
27,-197.31378322316414,-180.30606185948386,-124.38143140768372,-102.44988329676889
28,-48.96000648988611,-281.4702631156862,-17.752507824528507,-159.6235927138606
29,8.38428940271345,-53.30378290361105,-179.75315467746947,-197.70293619851407
30,-155.36020036855302,-233.6841876494418,-159.73634912950072,-144.7282467154265
31,-166.54574069112283,-371.5541292744835,-56.70458455419657,-128.63458237856364
32,-424.06960684782496,-287.67318010941227,-113.5867430822735,-132.592357557693
33,-342.3245229160553,-268.0147172977536,-95.7102550939261,-195.82513641807577
34,-77.23247104726957,-522.274233122678,-444.08979359449523,-121.03391316029382
35,-289.8988097339068,-433.0045769794469,-73.34959384360768,-13.681595644914665
36,-224.94490303870867,-452.64743118359723,-121.15461295388354,-138.81691322049622
37,-198.28068853100118,-422.7079757821033,-372.04504909064224,-143.30062460073574
38,-92.19586798258182,-432.2518708615223,-125.86813714521594,-16.948426684675965
39,-321.7672575411739,-378.5508008652336,-114.59884082493816,-270.16622978846175
40,-94.3288423140182,-176.17607295345812,-84.87003693539344,-168.92223565603902
41,-64.10518753943448,-23.96488563039017,-71.20715007599742,-136.4835046335492
42,-453.2246949984048,-226.48640387403282,-103.11107965181782,-130.03242350256022
43,-131.74735923566092,-386.39621310395995,-85.1351507764674,-160.19713539403506
44,-196.21040629128544,-56.72553827273937,-51.33119087464902,-201.98086690750472
45,-267.68381877431375,-131.1613359600032,-127.16790337069693,-168.6559756984054
46,-157.8046791561593,-103.7089421757326,-88.94138193611765,-116.05120294695541
47,-69.57347005347054,-95.88696530471698,-138.43364670422625,-170.84478187115977
48,-182.52132619912015,-38.44868533158244,-90.52228967914226,-194.49499122359518
49,-75.01581800420443,-21.955119623850706,-196.33028806421174,-341.1974679497526
50,-214.25084701569506,-10.388303274050045,-135.57668847040935,-349.72968036128174
51,-12.30017579197036,-46.05902165457091,-144.05978372603568,-180.00141990627696
52,-68.57184667741349,11.312085339476099,-87.79839217326959,-333.49381274537706
53,-134.3829222788558,-43.05220387167789,-46.862176580567336,-44.15885306629529
54,-155.51298635177557,-95.45646163500327,-41.36958300573558,-112.03412194562068
55,-238.12732594617626,245.2132229342758,-92.83729485245563,-131.73309359037592
56,-287.11547227878395,-1.5919700974886837,-22.719438166700613,-170.92599141510743
57,-51.08778355315273,-100.85356801787435,-170.4605595788025,-107.97611602137887
58,-131.05088281149526,-78.85626114704108,27.311274478335505,-146.60524108424082
59,-198.9783421260397,-159.61611640127632,-140.39247454033782,-147.16500417820913
60,-344.74420457278336,-115.94691056862173,-192.9556377523492,-164.0387076894906
61,-203.65547930408192,-102.2779902554478,-115.99326764607619,-121.29917349568726
62,-176.99990731592692,-116.10298362843415,-151.20150999862716,-150.90701920316997
63,-186.02578871589043,-117.60309727213478,-91.3196081150731,-164.16296371579014
64,-186.33981989654143,-109.07590849084845,-120.07064699527979,-138.87267186400322
65,-114.70722828164386,-99.13729853674033,-13.791017620497442,-363.4577797736233
66,-121.12197018547955,-95.8362484108177,-121.6749618436837,-305.4738258340391
67,-54.6009254791919,-255.48978929886354,-50.35159004007964,-169.677095373547
68,-256.0690814956953,-231.61322747523792,-139.60804885400245,-351.7778867191548
69,-376.0949121625662,-51.56264618307604,-106.84985047396054,-128.68262992974297
70,-329.9505050685066,-143.97540641890765,-74.76178559924222,-146.39618884657386
71,-180.6926370835564,-76.0138083892639,-52.04194165820417,-207.9958520889176
72,-215.4752481100117,-244.37934151209657,-25.80582873844189,-152.02596436559364
73,-8.905184141943948,-84.74449602810006,-45.948061943124266,-195.68630787320978
74,-237.0784567399306,-28.666326311435455,-120.14367116446111,-134.27274962619907
75,-148.95008517933996,-247.9388207473023,-246.54768559568018,-166.5993447522848
76,-441.8236248406747,-233.1253029858983,-53.418490760940124,-123.89015106297353
77,-209.08910362963155,-234.75051725491548,-240.3882489208679,-123.79695221599738
78,-230.9036814834453,-20.251407632168323,-130.5345850641865,-99.40564535206497
79,-222.24684656116509,-269.1071883406187,-100.05529769199099,-235.20577529956665
80,-201.4075944278946,-70.97902525868383,-126.04624019886691,-339.091683174914
81,-85.6234596164581,-152.64371407103883,-152.47054090703153,-248.7003958668132
82,-25.65793461241421,171.29857466392815,-118.44261680229184,17.215055744010428
83,-78.81131520899604,-133.55456593217895,-119.9584766248597,-156.84800974214696
84,-39.782206462445174,-104.4150120056571,-79.59333856166806,-162.77077387529926
85,-360.6256430634128,-14.86863276989267,-75.01158833164816,-215.68522855251757
86,-331.40021045433065,-59.35211833319853,-291.8717019375488,-120.44766704287844
87,-247.36860341420132,-96.41959964993194,-41.21810935424551,-398.1189674871112
88,-359.9209751705878,14.636170702543026,-104.41869830772568,-157.9591196787307
89,-145.09576505075074,-59.54684306047772,-133.94758103362253,-111.46661765649043
90,21.10954947208637,-109.863468556685,-129.64585235585653,-123.6949175214474
91,-256.26480297823986,-83.6372935297084,-109.57122040750889,-155.29452712158195
92,-215.7967286460458,-140.8769690718364,-125.16461594027561,-161.43804392261387
93,-43.869280602625075,-162.42237604894103,-295.2758267607803,-101.57994321736703
94,-201.44087760554493,-102.80319534917071,-55.1605943574316,-393.09386231938043
95,-98.67540381803744,-75.20809624898205,-254.94646056022827,-153.70892788542602
96,-83.36374826644575,-128.07555022958223,-36.326652512303106,-148.63635997950448
97,-77.99756575408753,-102.84720246981595,-58.2368335086145,-172.19231805926725
98,-249.41924050648828,-3.7428018193488697,-14.762309883364352,-116.56068048750132
99,-259.68871286584834,-100.15232385753282,-81.39267131889417,-153.74422812891385
100,-285.8283738788078,-248.12272206572092,-192.9215622900408,-139.3484555137876
101,-131.67024247594557,-209.1199725485582,-112.34401649955348,-302.0264835549658
102,-172.20314568185603,-72.4526486946238,-362.47113840397145,-153.38819931219263
103,-344.32739247745235,-143.29035450091817,-362.7070621038674,-139.4427321580563
104,-105.26071532080195,-133.44179418558411,-216.2860542789086,-91.12656483311667
105,-34.912067214257675,-34.065050944793796,-107.76382443837878,-116.1960445505263
106,-92.94579273910117,-123.8417411082617,-129.6105375005742,24.67145765344509
107,-222.60532627612372,-18.50894292459455,-112.12069628603962,-501.12316000637486
108,-31.74417890845163,-209.89271389028602,-121.95633786013472,-746.0394806280242
109,-181.22548322524904,-191.29907379799107,-254.5133138281275,-135.8597123295811
110,-184.6076789180963,-56.93771539284485,-104.75459314281647,-107.79370589004785
111,-189.69905860831386,-51.3170859203285,-130.8789722256919,-157.76527829291408
112,-198.2365323942379,-120.59849028931497,-281.9276121094496,-133.8710979073245
113,-21.080567306991767,-356.9031275692091,-105.2318094977569,-161.69361399723752
114,-291.31538290434617,-49.898372892124115,-147.48682075521245,-260.14497548466585
115,-257.6689685395039,-54.35284809016603,-25.335788837058615,-100.83973011228767
116,-39.19572859160365,-94.03726932671334,-34.592049260306325,-86.86204186346211
117,-293.03938960823746,-158.02348887418597,-104.43991483485952,-161.37166574607514
118,-48.61005486674457,-166.27535269999956,18.679484001582182,-106.94373855709927
119,-35.08083559186309,-99.57012744117593,-30.046798006763623,-331.2016505622848
120,-59.68903586855622,-379.01771378317744,-128.9640922302374,-154.63057957055835
121,-248.16148943165967,-174.86211536900925,-121.89629538892085,-138.7370098489085
122,-79.30264497889749,-36.85369183624684,9.497907798170985,-12.734394056004405
123,93.13937941486665,-90.83098335267306,-154.9162126484995,-104.8664313236051
124,-64.1704635192644,-51.06283144164598,-184.88297524804548,-132.9314522590761
125,-18.006330291994843,31.669682335111816,-180.33865129851534,-144.09850241541264
126,-64.89179117217847,-382.5752234628122,-140.4160735908375,-118.75308308740901
127,-48.55163510624174,-88.9658054638385,-82.1608933460298,-220.49304797379727
128,-122.52530223392571,-12.135891132548963,-177.55164351486462,-142.36831507172454
129,-92.31610655534244,-353.0288314017604,-63.66921604811159,-536.4750482007406
130,-33.66477743683906,-39.65703259537163,-110.76184007107527,-137.4893667723946
131,-25.29777572192269,-70.39365204334443,-115.81921709353314,-119.84732389619214
132,-140.32941331256532,-47.46649778576797,-359.1680130776104,-89.92422277186182
133,-84.14387706493387,-62.04405896614627,-114.8133455553259,-111.03694040115116
134,104.93874548733673,-203.12301280960554,-109.6685794101046,-132.2715079844382
135,-34.234525710864844,-34.115429241489736,-137.68486848318224,-135.40867387786938
136,-147.9009687526984,-83.96133194634515,-86.86415453359824,-115.01751747474503
137,-60.105823664998425,-101.17518076383939,-34.75289472385586,-93.2631970411471
138,-73.24858523973468,-71.2676528323152,-155.41537745300298,-125.82959724008867
139,-56.96779281925424,-64.51016120712028,-169.81134846549514,-108.77095297388658
140,-115.12570502596625,12.029001755634283,-154.89841106213194,-681.8910161334604
141,-126.07146289525942,-110.50324479052709,-172.16227833798698,-166.34516620041114
142,-44.255370562216726,-15.527950631377792,-180.91554585369988,-110.19862704498203
143,-121.13995110184467,-74.57214357968427,-138.44422122148606,-110.0296062947647
144,-217.6038176638193,-77.28507263052774,-144.26239596380861,-318.72796449610945
145,-135.8403879253554,-60.3471177503766,-59.48635038665589,-556.8919798067245
146,-228.0677339918528,-67.90438802432404,-142.43851616921094,-339.9822169865265
147,-96.51476349010485,-29.90784641754064,-70.73161402462281,-142.97350877402047
148,-24.22217388870733,-0.23825236258549864,-208.54603035468517,-110.05022332865485
149,-161.43889327487568,-55.69124419197978,-45.44684076848267,-119.56428085876098
150,-286.53404701533645,-25.049018672055098,-121.05025611362778,-149.96972321798722
151,-267.72618299013936,-80.50534175850069,-170.09384086251254,-130.00929199342397
152,-309.82653946913655,-115.502289975483,13.90551206225254,-111.66989701369556
