,Buffer Size = 60000,Buffer Size = 80000,Buffer Size = 100000,Buffer Size = 120000
0,79.0,66.0,84.0,54.0
1,69.0,54.0,88.0,61.0
2,81.0,54.0,86.0,56.0
3,72.0,67.0,92.0,62.0
4,75.0,55.0,63.0,61.0
5,59.0,64.0,52.0,64.0
6,61.0,53.0,59.0,68.0
7,53.0,52.0,59.0,81.0
8,63.0,76.0,55.0,89.0
9,72.0,64.0,78.0,88.0
10,74.0,69.0,53.0,63.0
11,94.0,106.0,82.0,64.0
12,75.0,75.0,84.0,80.0
13,59.0,82.0,65.0,78.0
14,57.0,69.0,54.0,53.0
15,55.0,74.0,82.0,92.0
16,55.0,52.0,81.0,52.0
17,55.0,65.0,81.0,69.0
18,59.0,53.0,83.0,61.0
19,90.0,75.0,52.0,59.0
20,85.0,54.0,68.0,55.0
21,52.0,55.0,71.0,67.0
22,64.0,87.0,72.0,68.0
23,86.0,73.0,89.0,74.0
24,63.0,110.0,81.0,54.0
25,76.0,77.0,58.0,75.0
26,90.0,66.0,77.0,68.0
27,56.0,84.0,77.0,70.0
28,83.0,71.0,80.0,55.0
29,76.0,80.0,86.0,69.0
30,70.0,79.0,66.0,61.0
31,76.0,75.0,72.0,91.0
32,84.0,88.0,70.0,100.0
33,56.0,68.0,62.0,61.0
34,63.0,78.0,80.0,80.0
35,52.0,61.0,65.0,74.0
36,74.0,54.0,84.0,132.0
37,68.0,55.0,64.0,128.0
38,65.0,73.0,63.0,103.0
39,57.0,57.0,71.0,190.0
40,63.0,73.0,93.0,112.0
41,89.0,90.0,74.0,75.0
42,56.0,79.0,81.0,83.0
43,87.0,77.0,90.0,91.0
44,52.0,72.0,97.0,91.0
45,89.0,52.0,102.0,58.0
46,56.0,81.0,102.0,78.0
47,69.0,74.0,109.0,92.0
48,73.0,93.0,129.0,492.0
49,85.0,60.0,125.0,126.0
50,58.0,73.0,73.0,330.0
51,57.0,82.0,112.0,116.0
52,56.0,74.0,150.0,413.0
53,90.0,88.0,91.0,100.0
54,95.0,64.0,136.0,59.0
55,84.0,56.0,80.0,127.0
56,81.0,80.0,149.0,220.0
57,86.0,66.0,217.0,73.0
58,60.0,72.0,147.0,127.0
59,67.0,72.0,109.0,241.0
60,59.0,51.0,139.0,166.0
61,54.0,63.0,209.0,164.0
62,58.0,58.0,235.0,81.0
63,75.0,66.0,273.0,77.0
64,55.0,84.0,218.0,93.0
65,58.0,90.0,241.0,240.0
66,100.0,85.0,357.0,125.0
67,58.0,53.0,349.0,123.0
68,67.0,55.0,104.0,143.0
69,78.0,65.0,367.0,288.0
70,67.0,75.0,299.0,92.0
71,89.0,85.0,198.0,81.0
72,70.0,64.0,478.0,236.0
73,68.0,57.0,268.0,296.0
74,55.0,74.0,389.0,327.0
75,79.0,89.0,120.0,212.0
76,84.0,87.0,223.0,245.0
77,70.0,67.0,217.0,651.0
78,64.0,62.0,262.0,326.0
79,93.0,65.0,161.0,221.0
80,57.0,75.0,154.0,245.0
81,81.0,54.0,148.0,295.0
82,79.0,84.0,192.0,222.0
83,81.0,86.0,223.0,519.0
84,55.0,82.0,224.0,552.0
85,89.0,63.0,262.0,486.0
86,82.0,81.0,357.0,328.0
87,81.0,53.0,434.0,360.0
88,76.0,81.0,216.0,309.0
89,90.0,487.0,378.0,212.0
90,73.0,447.0,151.0,201.0
91,93.0,336.0,277.0,216.0
92,71.0,171.0,898.0,271.0
93,52.0,97.0,67.0,251.0
94,84.0,281.0,188.0,185.0
95,84.0,76.0,104.0,238.0
96,71.0,591.0,84.0,361.0
97,64.0,119.0,165.0,437.0
98,80.0,88.0,184.0,187.0
99,58.0,78.0,133.0,176.0
100,64.0,56.0,136.0,166.0
101,92.0,131.0,98.0,216.0
102,82.0,60.0,121.0,211.0
103,53.0,237.0,102.0,128.0
104,83.0,143.0,79.0,352.0
105,78.0,78.0,127.0,215.0
106,52.0,118.0,135.0,139.0
107,52.0,257.0,135.0,210.0
108,81.0,313.0,120.0,326.0
109,61.0,432.0,75.0,137.0
110,53.0,202.0,152.0,115.0
111,78.0,213.0,117.0,94.0
112,64.0,176.0,134.0,334.0
113,55.0,140.0,148.0,189.0
114,66.0,170.0,135.0,195.0
115,63.0,395.0,105.0,127.0
116,91.0,117.0,131.0,112.0
117,80.0,105.0,141.0,104.0
118,57.0,143.0,128.0,137.0
119,70.0,95.0,118.0,173.0
120,67.0,117.0,96.0,218.0
121,70.0,85.0,137.0,188.0
122,52.0,65.0,136.0,152.0
123,62.0,84.0,84.0,170.0
124,75.0,101.0,79.0,284.0
125,86.0,100.0,102.0,155.0
126,60.0,145.0,127.0,420.0
127,54.0,338.0,99.0,179.0
128,85.0,59.0,95.0,162.0
129,63.0,412.0,102.0,201.0
130,53.0,407.0,70.0,166.0
131,84.0,73.0,84.0,202.0
132,54.0,71.0,89.0,149.0
133,84.0,314.0,101.0,241.0
134,100.0,358.0,116.0,170.0
135,82.0,180.0,65.0,245.0
136,54.0,320.0,82.0,192.0
137,79.0,127.0,62.0,161.0
138,74.0,515.0,61.0,145.0
139,60.0,339.0,100.0,164.0
140,100.0,77.0,63.0,244.0
141,69.0,72.0,78.0,196.0
142,94.0,122.0,76.0,253.0
143,69.0,349.0,67.0,161.0
144,65.0,395.0,64.0,166.0
145,67.0,339.0,100.0,149.0
146,55.0,363.0,77.0,178.0
147,58.0,177.0,89.0,203.0
148,69.0,113.0,58.0,248.0
149,106.0,378.0,74.0,223.0
150,65.0,120.0,63.0,171.0
151,58.0,70.0,93.0,226.0
152,95.0,406.0,60.0,169.0
153,88.0,416.0,69.0,184.0
154,58.0,72.0,110.0,182.0
155,67.0,413.0,66.0,200.0
156,75.0,429.0,85.0,194.0
157,105.0,111.0,82.0,174.0
158,94.0,86.0,120.0,217.0
159,85.0,422.0,99.0,350.0
160,75.0,492.0,100.0,203.0
161,62.0,485.0,64.0,268.0
162,76.0,112.0,98.0,213.0
163,53.0,406.0,85.0,170.0
164,53.0,535.0,78.0,200.0
165,65.0,113.0,63.0,416.0
166,90.0,506.0,82.0,381.0
167,74.0,73.0,79.0,384.0
168,56.0,538.0,61.0,219.0
169,51.0,517.0,88.0,162.0
