,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
0,-367.7800402809107,-1395.5265012158577,-411.6638348807894,-488.3091919156544
1,-483.13988094640155,-433.34544685616123,-199.34340705290168,-434.9267576187827
2,-648.0642474045179,-551.6749840673833,-271.41196112173526,-713.2526824813807
3,-88.17517624376462,-533.5014605817382,-212.48286164232235,-955.1865761002387
4,-116.07801168462923,-481.6573799927856,-294.09622454735995,-1141.3587461778366
5,-421.5389749436447,-562.1363406332831,-227.01638223805446,-530.2911711186102
6,-217.3915079687003,-769.0199608121993,-282.16105180620275,-735.3293852001381
7,-420.79911861920215,-392.9653789007691,-323.1738351832072,-738.3707286259349
8,-198.15993712188828,-352.0223802244575,-273.5210107034976,-794.2650072733651
9,-559.0428320803233,-705.7416539705592,-343.62805054581133,-431.04732015550155
10,-350.57930708146216,-850.8147635900583,-304.21815807607345,-323.39216762152455
11,-129.12499578346933,-692.1865955197597,-228.2559454600026,-127.37239278014836
12,-535.763170143485,-328.1733219843679,-302.97453485998824,-207.33137060636443
13,-145.1644721904206,-138.65492995359455,-243.3804391481648,-145.9175794486343
14,-274.62438123792765,-654.338035173825,-144.8289094134575,-170.21285415875343
15,-560.6736525377612,-126.78722542068019,-455.29543648124763,-40.80811741327831
16,-527.5516864014133,-142.05561352759048,-187.58243579472656,-506.23654410287946
17,-221.78171797755795,-141.89039415467778,-293.5565054760833,-657.5358299338582
18,-329.568468948975,-98.524854866694,-546.288308402902,-554.3619693970616
19,-302.80460940999694,-156.1157396038277,-563.3842151962949,-254.87669288961587
20,-232.73786211164307,-207.5803291016704,-209.04735357449374,-333.1365885782151
21,-208.15686230066777,-120.1713298334557,-220.08581180891332,-303.7396790322949
22,-267.8302544436501,-121.1684713222746,-14.169481950936216,-288.7794221552274
23,-230.8768305576475,-119.43582939011768,-216.4407953047658,-217.4081941668195
24,-264.2574544569553,-155.83936078371605,-83.01269772683679,-60.57548479107966
25,-484.74378354033377,-164.7171845021576,-428.90813146401564,-85.43846645834367
26,-208.3487733740265,-209.19049205123156,39.37535547528188,-11.828764735267569
27,-205.14495059211507,-52.30251308264289,-39.64355763404031,-12.592585092207656
28,-372.7466053546387,-58.48039712985029,-231.06500892051693,-125.40315438980915
29,-357.98296857490305,-120.78770324072079,-165.7290314700099,-45.27442975306057
30,-201.61100715542284,-134.15609874660973,-228.63190365734994,-184.9289551549656
31,-238.30902310690442,-153.41379311893934,-359.9319613969773,-198.33847731959744
32,-207.00097244368305,-101.98031483472923,-418.85288197649305,-138.37865920929113
33,-196.93605806687918,-151.43546277713443,-177.41486653662005,-133.39370515756295
34,-208.95425764838086,-127.8127619590907,-390.3882935980178,-208.2728947912325
35,-179.26008014875947,-131.66079440760882,-459.1903066650073,-311.04046570839967
36,-188.75946242857736,-219.53813852344712,-179.90731354411,-153.71899633504123
37,-75.58444507182512,-251.6675023728963,-311.9685169647894,-68.09062608942529
38,-629.3117376316264,-250.803364454383,-207.89851690218507,-128.35212184495998
39,-282.6310449999884,-119.25510163124203,54.370130313280455,-48.20250994387529
40,-286.9117511872197,-163.2925207569203,164.55910676282622,-108.24177391088702
41,-329.39674722959563,-112.44166117035034,-149.6934826818246,-153.43460586100124
42,-234.27763735507415,-150.97951262343545,-235.32771712433686,-93.42350508511451
43,-705.903946055388,-98.29232786288867,-154.2404411155852,-17.577314816672782
44,-247.4604367758692,-56.88704872351774,-62.46573046232006,-86.89650235777233
