,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
0,56.0,71.0,65.0,55.0
1,76.0,54.0,51.0,64.0
2,62.0,66.0,66.0,62.0
3,56.0,58.0,50.0,54.0
4,85.0,59.0,58.0,55.0
5,90.0,59.0,59.0,70.0
6,111.0,62.0,86.0,60.0
7,133.0,69.0,50.0,55.0
8,102.0,62.0,74.0,61.0
9,95.0,72.0,54.0,59.0
10,139.0,55.0,65.0,61.0
11,80.0,58.0,59.0,55.0
12,77.0,51.0,65.0,73.0
13,97.0,56.0,81.0,100.0
14,64.0,66.0,79.0,75.0
15,107.0,67.0,78.0,73.0
16,99.0,63.0,171.0,62.0
17,80.0,81.0,211.0,101.0
18,70.0,185.0,110.0,123.0
19,104.0,71.0,678.0,88.0
20,145.0,90.0,654.0,57.0
21,103.0,98.0,374.0,55.0
22,78.0,96.0,196.0,89.0
23,74.0,80.0,129.0,67.0
24,109.0,91.0,146.0,65.0
25,88.0,329.0,240.0,97.0
26,64.0,215.0,236.0,124.0
27,124.0,709.0,282.0,82.0
28,86.0,94.0,142.0,588.0
29,66.0,60.0,294.0,238.0
30,96.0,71.0,311.0,354.0
31,67.0,102.0,161.0,192.0
32,92.0,115.0,206.0,158.0
33,106.0,110.0,303.0,87.0
34,111.0,78.0,113.0,103.0
35,77.0,97.0,176.0,89.0
36,108.0,137.0,239.0,103.0
37,227.0,148.0,267.0,86.0
38,98.0,71.0,136.0,192.0
39,141.0,127.0,157.0,101.0
40,102.0,93.0,105.0,92.0
41,94.0,124.0,142.0,62.0
42,79.0,83.0,136.0,182.0
43,149.0,151.0,153.0,190.0
44,182.0,109.0,102.0,91.0
45,286.0,68.0,170.0,97.0
46,107.0,131.0,216.0,811.0
47,117.0,76.0,161.0,102.0
48,114.0,87.0,145.0,51.0
49,106.0,89.0,112.0,76.0
50,118.0,78.0,187.0,112.0
51,202.0,71.0,216.0,157.0
52,125.0,80.0,208.0,71.0
53,182.0,70.0,107.0,98.0
54,123.0,165.0,192.0,84.0
55,98.0,100.0,160.0,68.0
56,122.0,104.0,172.0,65.0
57,122.0,79.0,156.0,91.0
58,123.0,99.0,141.0,83.0
59,159.0,137.0,165.0,77.0
60,152.0,147.0,179.0,85.0
61,94.0,137.0,192.0,72.0
62,106.0,113.0,199.0,86.0
63,194.0,88.0,223.0,66.0
