,one 64 layer,one 128 layer,two 64 layer
0,4.9762349444680325,-117.08948373082441,-749.5053047771629
1,-62.777777312533004,-120.94453095574607,-713.1010940803698
2,-114.7806428588491,-129.11737855243365,-500.3741547805155
3,-103.57484452485251,-43.359210579288785,-548.2766620751902
4,-160.82969511705969,-144.9582324582978,-697.3735385606237
5,-103.8759822052117,-171.6395426232795,-632.5538638545913
6,-171.80100881778935,-119.56187104804445,-607.9852919065606
7,-142.57986950058907,-103.2546388308462,-503.3340698559022
8,-449.8868423085771,-149.67537671680117,-457.2416761344068
9,-182.20557070409396,51.4452352123883,-619.6415409079726
10,-484.36900368997203,-136.40323452630486,-469.5089034725005
11,-164.99749376324294,-182.5767151493083,-319.7814362865583
12,-298.34486882785893,-206.72436758137587,-244.57615526134703
13,-738.5759015857623,-293.61858320865156,-438.0734089058744
14,-71.17887733149276,-439.89095555066956,-539.6165256955624
15,-357.886570379455,-649.7379802763403,-575.4669292272138
16,-309.39434265038324,39.27223712772124,-577.9212704238388
17,-307.95474554972003,-192.2972754410017,-5.618447711311248
18,-113.85235382939902,-279.3764585404407,-69.27232718408032
19,-149.15660055689276,-213.3440176760936,-756.0106505852174
20,-138.22904479285145,-472.52021730622147,-801.2890265221689
21,-97.15894600564727,-438.4039873471382,-553.6767251939018
22,-244.005908017636,-65.50678266022027,-230.9867580045997
23,-248.0235163045704,-667.8092331616537,-13.825007039995967
24,-195.6098225014676,-235.2160318786598,56.37988530594738
25,-147.23407811709305,-288.5449098648765,-44.04844739500511
26,-105.57418124613895,-39.099061143952056,176.58462883454564
27,-149.94272331867546,-194.245382523081,-71.96426307525041
28,-110.13989153378114,-78.01909608318103,-109.08245611392974
29,-5.8427260959005025,-400.33632352607174,100.58710561706528
30,-209.03446866258275,-360.84026241674184,-282.0857073899745
31,-68.86061048561376,-140.95368392133759,-129.87894378320317
32,-101.77575338631259,-149.92680242641967,-316.8752342289695
33,-100.8619062808462,-420.37292434793255,-95.85128903934033
