,one 64 layer,one 128 layer,two 64 layer
0,-385.9194532981679,-538.1730411737915,-173.5242608538812
1,-366.0909945880643,-605.0272985582991,-231.24913837520856
2,-519.4009207386983,-99.6679860316118,-1388.16225351837
3,-202.27023061063466,-558.2688949409451,-188.3506704924617
4,-365.75591761771335,-754.2788515416086,-219.31840323509496
5,-449.3766061227407,-143.40433567500773,-262.3885892469433
6,-206.3741649461774,-94.6194887488757,-196.16986854058447
7,-221.8988118482996,-536.0935640321127,-233.7953465185886
8,-465.0651963390309,-139.36228897616516,-222.8790820698047
9,-290.5182883829284,-543.5987545736288,-651.1201414534432
10,-346.53688237701385,-780.9091019984647,-219.8671536525772
11,-368.4052408818694,-320.93766024678513,-173.86720135195722
12,-506.5232344687984,-826.3520260236262,-400.27721492400605
13,-281.2995876393471,-437.5056321942966,-93.79740232700931
14,-98.2511397230508,-108.37618143665921,-541.5743084188557
15,-303.77894817391984,-497.464061781186,-282.4928977382869
16,-453.421801939735,-342.620737339806,-634.6145124323258
17,-265.60845479976524,-214.6569452352557,-188.69195780748217
18,-451.3364476158896,-145.20533065112176,-136.26285392727806
19,-110.06191011248096,-190.87034844301024,-154.41520005935647
20,-149.07778504294964,28.472830188681883,-153.1917119915371
21,-40.89557065226023,-223.56335759617178,-239.5432732354223
22,-128.90585539830073,-103.24784538061306,-187.66562966613978
23,-89.98596641269225,-158.0545655028213,-256.91933795694297
24,-79.4384730029198,-139.93936887836614,-122.74416177379977
25,-625.3410882749076,-132.17020590368594,-16.481019142484584
26,-133.2422978251509,-326.11466612214787,21.82276411195204
27,-306.3581345138953,-214.28395880287727,-45.487652807038316
28,-276.6681907048918,-363.3178873486772,-288.0697169380234
29,-357.873539086213,-129.56071068159812,-236.21948220086884
30,-113.91212116467322,-331.57274764276383,-588.9642733188217
31,-176.04303373764685,-121.83493404593936,-947.7137301222754
32,-148.62388527102303,-310.1654474158506,-27.552833577490418
33,-237.72565131650958,-286.52358814259867,-25.370514886828758
34,-174.05808939714154,-135.05336616618084,-269.8548631101074
35,-73.73291723557011,-64.50574505294888,-147.17083014083028
36,-159.6814166216986,-353.47492896023437,-433.3527881018821
37,-114.29069572403694,-127.48810416619787,-383.16460635879685
38,-159.89063230729695,-198.00298633242434,-457.9932688935559
39,-160.54222680704686,-333.70264344644113,-338.18195274093677
40,-154.26080236715683,-398.20116466390607,-203.01957605254432
41,-170.52871403131587,-285.62294126536955,-173.4292747967568
42,-171.24270998296356,-197.23728139046653,-162.0607165049703
43,-221.84259932148115,-157.51562291455468,-273.4110870456241
44,-200.76581434604853,-161.07918131418205,-65.65284854179527
45,-238.3445656951679,-197.99152428386319,-234.91755982386726
46,-108.07017523554893,-178.53296220208418,-215.156629378197
47,-249.26138876866278,-234.90836403567843,-136.04161749691335
48,-260.7112355943103,-180.10770183550497,-133.5509751919235
49,-167.26029973622815,-67.30388291980452,-51.97102723424345
50,-159.44804252465167,-258.96125651785906,-124.26601020479997
51,-189.88626499670895,-293.9421276275534,-208.5298153989462
52,-23.7575585073005,-218.939363777555,-83.32282052862267
53,-200.52662236675067,-221.29566087488325,-141.85947302052006
54,-125.51629423081408,-269.2732880220434,-65.75271338748432
55,-105.43135231391882,-510.74258373649786,-93.63275501047555
56,-183.94701792658338,-277.34093146932446,215.76109461957404
57,-151.54403582814075,-275.29945121012474,-93.2364161356099
58,-131.90743568299635,-185.96613257026303,-66.72124529824698
59,-120.41486675204688,-474.80392264780124,-112.37590497976639
