,one 64 layer,one 128 layer,two 64 layer
0,88.0,59.0,74.0
1,68.0,86.0,75.0
2,103.0,68.0,211.0
3,77.0,66.0,69.0
4,77.0,76.0,67.0
5,69.0,60.0,63.0
6,60.0,54.0,53.0
7,67.0,69.0,92.0
8,86.0,57.0,62.0
9,65.0,62.0,98.0
10,62.0,82.0,87.0
11,93.0,59.0,67.0
12,72.0,87.0,79.0
13,59.0,60.0,87.0
14,79.0,70.0,103.0
15,86.0,141.0,66.0
16,87.0,71.0,66.0
17,72.0,54.0,80.0
18,87.0,58.0,62.0
19,63.0,52.0,68.0
20,87.0,59.0,65.0
21,93.0,66.0,57.0
22,90.0,51.0,86.0
23,69.0,88.0,71.0
24,79.0,56.0,58.0
25,271.0,55.0,140.0
26,75.0,88.0,160.0
27,158.0,83.0,149.0
28,133.0,82.0,91.0
29,98.0,51.0,263.0
30,94.0,74.0,360.0
31,239.0,62.0,429.0
32,121.0,86.0,195.0
33,112.0,81.0,282.0
34,108.0,58.0,173.0
35,143.0,78.0,470.0
36,136.0,193.0,880.0
37,156.0,101.0,829.0
38,155.0,240.0,471.0
39,210.0,191.0,109.0
40,134.0,276.0,158.0
41,97.0,121.0,248.0
42,454.0,157.0,352.0
43,182.0,201.0,348.0
44,238.0,161.0,161.0
45,180.0,195.0,520.0
46,97.0,182.0,323.0
47,259.0,292.0,389.0
48,612.0,188.0,363.0
49,157.0,81.0,325.0
50,209.0,384.0,322.0
51,529.0,410.0,639.0
52,244.0,291.0,1000.0
53,516.0,230.0,466.0
54,610.0,362.0,1000.0
55,248.0,263.0,1000.0
56,459.0,311.0,568.0
57,635.0,343.0,1000.0
58,107.0,337.0,1000.0
59,105.0,593.0,867.0
60,281.0,306.0,719.0
61,194.0,246.0,913.0
62,243.0,756.0,1000.0
63,162.0,476.0,1000.0
64,152.0,418.0,1000.0
65,253.0,330.0,835.0
66,319.0,367.0,1000.0
67,605.0,283.0,1000.0
68,664.0,179.0,1000.0
69,287.0,286.0,1000.0
70,651.0,165.0,868.0
71,519.0,495.0,869.0
72,652.0,238.0,556.0
73,242.0,154.0,512.0
74,413.0,563.0,733.0
75,661.0,220.0,807.0
76,692.0,184.0,724.0
77,425.0,174.0,887.0
78,759.0,322.0,137.0
79,731.0,131.0,810.0
80,170.0,173.0,759.0
81,1000.0,106.0,463.0
82,814.0,328.0,1000.0
83,470.0,181.0,1000.0
84,679.0,99.0,1000.0
85,751.0,98.0,1000.0
86,742.0,134.0,1000.0
87,782.0,127.0,747.0
88,721.0,357.0,835.0
89,1000.0,399.0,1000.0
90,834.0,168.0,1000.0
91,736.0,172.0,405.0
92,585.0,157.0,1000.0
93,1000.0,134.0,151.0
94,107.0,262.0,720.0
95,291.0,693.0,314.0
96,595.0,300.0,260.0
97,576.0,141.0,224.0
98,458.0,587.0,251.0
99,815.0,173.0,730.0
100,411.0,348.0,835.0
101,222.0,291.0,669.0
102,787.0,173.0,421.0
103,179.0,225.0,926.0
104,713.0,551.0,455.0
105,684.0,208.0,439.0
106,164.0,205.0,375.0
107,750.0,210.0,431.0
108,272.0,458.0,1000.0
109,930.0,679.0,966.0
110,877.0,444.0,360.0
111,424.0,362.0,979.0
112,485.0,260.0,1000.0
113,522.0,231.0,148.0
114,466.0,251.0,900.0
115,591.0,286.0,600.0
116,273.0,161.0,1000.0
117,760.0,251.0,1000.0
118,317.0,712.0,829.0
119,1000.0,264.0,1000.0
120,634.0,745.0,480.0
121,1000.0,320.0,1000.0
122,879.0,627.0,790.0
123,743.0,209.0,421.0
124,711.0,287.0,804.0
125,470.0,311.0,1000.0
126,678.0,767.0,979.0
127,644.0,343.0,1000.0
128,559.0,528.0,855.0
129,679.0,209.0,339.0
130,886.0,255.0,1000.0
131,1000.0,352.0,208.0
132,701.0,347.0,789.0
133,867.0,289.0,164.0
134,785.0,399.0,1000.0
135,856.0,423.0,1000.0
136,990.0,549.0,1000.0
137,666.0,634.0,174.0
138,614.0,754.0,849.0
139,586.0,216.0,1000.0
140,592.0,365.0,1000.0
141,632.0,517.0,1000.0
142,902.0,408.0,1000.0
143,563.0,559.0,993.0
144,803.0,420.0,982.0
145,375.0,409.0,1000.0
146,1000.0,648.0,1000.0
147,814.0,476.0,1000.0
148,788.0,390.0,860.0
149,771.0,435.0,1000.0
150,650.0,121.0,997.0
151,981.0,529.0,1000.0
152,640.0,461.0,1000.0
153,758.0,367.0,981.0
154,893.0,692.0,1000.0
