,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
0,-458.94365185743044,-915.2476612416712,-97.27724920251677,-533.0490554506323
1,-601.8437835064219,-601.2884648135386,-141.74247467082648,-647.7905806307772
2,-147.31341002591392,-1446.7259492011874,-113.85466955128726,-625.5659690028477
3,-255.25222866497023,-484.65139845517035,-99.8848047351899,-212.06563724935182
4,-348.38691932796735,-641.7883487505682,-313.605954949641,-668.0891072588661
5,-1054.6556737259289,-1021.9937939215847,-144.01629606828888,-203.55016854160118
6,-382.78091701842555,-578.5549826667415,-143.42574972866208,-110.59149981888916
7,-329.41216813913456,-508.3578303954189,-160.13515251277994,-267.93210368920876
8,-588.1758548152025,-622.5083917591016,-170.0507706059655,-332.0708109029322
9,-465.37453265121513,-469.7266633204447,-122.09792348240612,-587.0262278522421
10,-203.15381842420624,-298.21754187517064,-110.99358105192036,-603.2060899051392
11,-518.7131433754154,-596.3299311960412,-145.73179549264492,-122.40671331411394
12,-242.80788283659842,-121.04422111011012,-136.43638335492335,-666.8716616325457
13,-498.90192361797267,-125.32593413511913,-139.17197307987053,-707.9017903763083
14,-150.18983531887233,-639.7179907353701,-182.56500479566168,-185.44591724548656
15,-237.5460012631237,-654.320010130266,-1072.5767896867308,-159.55502152875079
16,-169.2474290336063,-277.0501347062901,-25.660615336570558,-520.4663325044681
17,-203.04631933792714,-460.33547729482336,-284.8051550437239,-267.86970308394626
18,-150.51208725378044,-158.69475704218416,-17.995597927826083,-204.35448057109852
19,-177.79457328610536,-165.03354370724685,-154.5032950669097,-231.23647731441417
20,-319.0512645719251,-468.35101797634434,-111.10640926395567,-333.883756404808
21,-35.165324394110996,-226.17299697449698,-143.596429261541,-237.89234049324597
22,-203.30618650475594,-440.06930579686525,-9.04735543680944,-282.2458008445088
23,-252.6401344060442,-161.80078887418594,-74.64333672275,-615.0048516824073
24,-414.1048122854164,-207.09553694614067,-357.57083916398534,-504.9147336706273
25,-184.7693348042224,-375.9129032271893,-148.8310501080166,-347.3911225715345
26,-195.17186380544058,-185.78278546488474,-152.133726434582,-253.99523039981005
27,-162.05495618101736,-115.95395108760322,-341.7158321357829,-144.88755798120206
28,-423.8769160670666,-479.6629656959737,-58.660790441838884,-317.35520456903265
29,-409.30319411736747,-35.626040650471964,-169.11054032830003,-148.24729642001765
30,-161.25859691042328,-112.30642004867289,-113.97909595824794,-162.84343555811245
31,-197.84739547342355,-398.1527743572482,-257.6680927128967,-275.81977824946847
32,-528.6570458086965,-178.49375299168366,-375.42616711659446,-185.4495368897177
33,-98.21875100442381,-556.9025698172629,-172.8872253705033,-240.24650282786922
34,-257.62799294114143,-138.87373361002125,-398.0776863967652,-138.42217664561232
35,-397.1245351316817,-260.0267068604818,-248.11964237385828,-128.0674543864427
36,-338.5107549043352,-633.1480550547639,-312.2456255221269,-307.3357696493117
37,-176.83898256687917,-274.39467271907324,-295.6674690907551,-144.6138733296599
38,-216.19787076128264,-135.31800760702203,-197.60740449681458,-247.3241179539956
39,-246.3703392222414,-175.89479294026273,-228.60005617441465,-228.93208991595728
40,-212.2547724929454,-195.08176893766577,-336.9328412727521,-255.53221762784162
41,-518.6905164433883,-109.8456501549984,-146.22992042273407,-86.54958788166255
42,-545.6952912942239,-198.8684486738142,-224.1630240060076,-165.18002762933043
43,-107.31833912790952,-119.13440634598442,-193.2238034116604,-133.09497942265364
44,-341.67546135777116,-131.9835256926186,-102.18240972318728,-124.57670933340313
45,-133.35930878585395,-398.3751210906477,-202.0218946391554,-153.23065364897843
46,-167.24764105553066,-104.91368787712415,-274.39553107196497,-146.54977612919902
47,-182.5425794516985,-97.98840878510111,-259.3914813555683,-125.72048838447478
48,-287.58095654154954,-131.7881377328806,-333.7779921630381,-126.55938369510824
49,-207.28542242762208,-192.69308883418753,-99.70475870099158,-148.27386614142648
50,-170.93427556955385,-139.2527075347133,-313.13005919454736,-165.9048030895063
51,-326.0519731059797,-637.9864732786779,-164.27268674790201,-86.73042711335788
52,-177.54655624598485,-499.1517810142824,-522.0653462046279,-240.99437339228604
53,-101.17015825233482,-434.68845534515987,-228.0985264139366,-203.79600239289465
54,-431.37621510319127,-173.9485334118383,-310.9931135564524,-357.6430114245391
55,-351.0081180959231,-117.96612776939614,-142.59912017758646,-356.2241506017556
56,-147.89869948875634,-614.1520035732839,-331.99723608462773,-289.8554983816063
57,-348.6270110099051,-164.90166597501528,-343.2012297674537,-89.48895784298443
58,-502.9844290981669,-571.7786969364037,-15.12853721490022,-275.684827887516
59,-108.15995201798816,-40.3750040677746,-311.2055415641273,-121.39843493626245
60,-110.02007909326484,-585.8629925485329,-237.25836332210832,-196.78879769786417
61,-267.63423533428556,-90.19921173187338,-242.78764367943035,-171.68928377050497
62,-218.09625048714787,-158.18780473075086,-240.38884741796716,-98.33979415390948
63,-304.19632612952165,-594.6559297660942,-367.3807540450061,-225.12014424697384
64,-309.34040536156715,-533.6763334305385,-377.55297214430976,-130.52786480030548
65,-740.4282744544046,-168.8209088366895,-161.7180588817235,-234.91006733243424
66,-447.82217543054344,-105.63841661731229,-389.8343440777961,-253.08941139831134
67,-232.91824657465673,-153.24297220791667,-179.58220835391327,-172.93239204414652
68,-71.63310628409025,-318.96101670022676,-323.71313313562365,-168.47227457922043
69,-191.41618326635003,-694.8173485775844,-198.95014040426042,-135.86077566681067
70,-702.1293982629297,-133.95188757954188,-116.41996225969257,-114.93115289846122
71,-101.86341227403362,-470.06397453089795,-181.658099040638,-227.14884429485963
72,-202.08450602682043,-315.0489311634128,-187.21162672140125,-220.6429276306669
73,-185.65004896251924,-153.84418398468503,-466.060697791336,-168.627028135918
74,-262.75792366373366,-113.43046955657692,-287.79549146964894,-332.4967008303984
75,-221.6068831696908,-124.94973418306336,-181.10294278040516,-221.22384010448692
76,-239.60426065786896,-93.68728296639037,-320.17912887819296,-154.98324761782834
77,-210.48660003544023,-127.70555061910406,-161.85158544309792,-103.45109415062964
78,-129.1079831708762,-138.4560225920931,-388.8875848136719,-10.961344207927766
79,-61.56274907517208,-272.41690110776767,-134.53513563539144,-371.5720658049248
80,-306.7860062787977,-141.3530693710753,-223.0337346086732,-174.81542026878228
81,-218.06612787380402,-300.15260950146995,-348.03901979616603,-64.99424124872517
82,-233.85317692074025,-141.0020672810858,-261.79072605075055,-267.8907715982498
83,-317.7066901091191,-109.77178900497859,-290.5666772875123,-167.34545433754835
84,-168.00854184911572,-526.6814796024967,-138.99694744843725,-80.09292779195471
85,-181.95348490175311,-587.244227895789,-213.97397969633937,-361.40844597182155
86,-231.54578628564795,-107.23102781431353,-433.2031929094666,-213.5154008103845
87,30.996461026402926,-477.8080797110857,-201.95928677644653,-324.6316091625155
88,-8.583551596207698,-128.8286627986878,-138.36256844384718,-160.53056574381418
89,-28.076187961539787,-111.31312958531532,-325.42648286047614,-403.2422926841059
90,-280.6033781498206,-387.28132008351525,-484.17462764032547,-136.21591150617468
91,-120.2114396369706,-585.8386121475191,-429.4389529857087,-204.7301115166983
92,-220.4751655423645,-330.02241545940933,-416.1146143359635,-168.573185219111
93,-144.4963941512628,-373.86949665415466,-442.58392271970024,-165.1496242969638
94,-62.21898481829996,-575.3397861468933,-280.62516496121754,-177.38331015937501
95,-342.3999571945593,-520.5104825970707,-12.331051097246828,-168.00523614386253
96,-271.7820376885787,-474.51205211930903,-537.1905932333175,-148.48012189666645
97,-125.68259534110183,-698.7499842266097,-310.5265812684356,-133.00959787322518
98,-834.3020032604395,7.796224634383094,-18.17506905832319,-349.2830600411503
99,12.930790182534707,-345.2223419468995,-489.93366066640164,-193.2810277641542
100,-98.20333634357543,-132.5307395473762,-392.4197104518344,-117.04036601312256
101,-117.090729339367,-484.3714472804893,-133.83108357407264,-102.2279766987919
102,-15.8426716059505,-113.9958856943899,-297.0824059945783,-175.54069115863467
103,-121.47090246150452,-162.05592709785248,-214.6653714879442,-134.04353701225335
104,-94.79327641829433,-132.68201030204992,-129.10126728253894,-10.826114484852567
105,-469.2272083641561,-125.95452655065486,-507.4291807699803,-139.55373508728272
106,-147.62980545145945,-245.08999673245378,-354.521530241225,-508.3070017523097
107,-267.06998258438466,-122.41105597780154,-275.5181095819833,-240.72371029200718
108,-180.48753832731074,-165.57164134182332,-128.34768398837633,-137.43289131667515
109,-182.0865443929206,-470.9343343931746,-192.4933438219296,-114.90457113831248
110,-346.5779180738456,-570.0752165150476,-219.8933487019318,-300.19733255048516
111,-140.01119671347024,-119.30019067056841,-494.35656581581975,-231.48949238751737
112,-242.5498160326199,-212.3678010386062,-506.3893371474675,-834.1637534602971
113,151.95264745315555,-811.0936554709843,-480.19308629722764,-225.87825200559507
114,-147.58060152277255,-334.3581198038297,-282.84437126974774,-110.55555251045688
115,-422.15881833996207,-906.3000302832337,-357.01173567910075,-133.13209113759245
116,-155.49734474880134,-424.2823871075076,-412.47339230115904,-155.9614655294473
117,-94.9328767200042,-847.7744292147718,-276.78783420990817,-129.69448512851605
118,-180.1402891564703,-354.91635116693,-266.62463621295495,-133.4648752353247
119,-175.21586850642092,-370.4477866656821,-194.41660537524643,-138.46772147440933
120,-248.41657363445472,-1032.465366892872,-282.8338604261784,-122.22492888999935
121,-308.1806464484521,-522.7764111089493,-315.73153969845913,-260.093546159696
122,-226.21864859741675,-267.26876573522605,-236.0329761957135,-83.91068777568267
123,-130.2615603431664,-108.2048964500652,-151.5983160198807,-127.51731433502547
124,-269.74260390185225,-534.8985273970632,-132.91441744331672,-192.61899116487558
125,-35.56438376057102,-333.25514278564515,-490.78220813828307,-131.08040993441142
126,-93.54558538709858,-1022.9850507726476,-386.91472704462143,-131.69659153539953
127,124.22284444673657,-273.14277254453816,-279.41641208862285,-166.27752159357004
128,-218.77698849544217,-286.75012821991254,-199.9005543337356,-133.5597074847664
129,-78.77184287751518,-118.64138798639755,-404.4477702048149,-182.90929093220282
130,-110.86976251310172,-249.25310044273002,-463.04712535240293,-149.75467546849364
131,-19.088748871530612,-580.5022660553432,-105.61072704288803,-147.14742830558802
132,174.91461235880547,-1177.4294708712234,-114.92997179199152,-148.77287183894617
133,196.8586488587714,-125.6397906069777,-398.37380124382355,-130.83836454157495
134,-96.82225462886632,-144.56585111486015,-379.67236934815344,-123.7930667958382
135,-58.331299050086855,-156.4883630414994,-350.50083002352665,-183.81658510743563
136,-64.71613324979315,-121.17689950306308,-385.5149325465138,-55.1149699193127
137,-65.70749303688277,-537.0901118927146,-231.99375453784228,-109.94957943361655
138,-104.15777116667056,-362.7962702697126,-59.340186099430305,-100.7521190471536
139,-133.1629964660582,-280.72232818820106,-216.56506375979802,-88.35592386822731
140,-69.04045857641682,-158.09423705254216,-212.86706811353415,-119.01430885905968
141,-69.24871906079169,-607.7094453822783,-205.1789266753309,-223.74523798220758
142,-155.71421495726077,-671.9205327322605,-177.87224581408913,-286.7900844423855
143,-132.29045918931428,-350.3610320011203,-160.8285450510308,-252.64068116007792
144,-75.85258286333661,-147.21240948699858,-326.998771046923,-95.24173782445439
145,-124.11054499932357,-375.0198430194269,-163.7176284834773,-123.5252316383552
146,-71.74504209064861,-167.46890531681458,-126.01769496303213,-219.6227274847726
147,-99.55242019459652,-218.24945215838778,-199.3263004333325,-214.1681427159093
148,-44.23477023391395,-216.47379446113635,-140.64783460424832,-243.80937705500907
149,-121.49131454626605,-96.79864493234498,-257.09980682598456,-206.95923068143674
150,-100.56895056416928,-426.7989684872972,-192.45183554782116,-132.98677200907596
151,-44.70787697068613,-174.02695236729323,-182.9655743928975,-137.90752756880576
152,-95.3913921075606,-122.489142077276,-164.8117098507061,-130.49789200566323
153,60.93476128820529,-126.41314966930715,-229.76856772085358,-128.6962007231226
154,-54.87848887875799,-37.36311497039014,-325.7286758904772,-137.59787759468583
155,-75.09331882749746,-109.84611153906658,-165.9808887614673,-214.8508726546723
156,-45.33464540210302,-105.80969695313851,-321.1642462938027,-146.69224776191348
157,-283.57578000361764,-100.18250954831564,-132.40333093141513,-227.54518350280134
158,-419.7233044175683,-408.8890062564184,-129.40632864553328,-118.34144439433507
159,-175.49696167813465,-140.1341906384667,-184.00082841715295,-175.0115496328827
160,-223.6511882719406,-459.6918389437227,-208.83107693085338,-136.36156194966026
161,-137.8316691762045,-112.8345990541768,-321.8148650522337,-236.81090717322218
162,-161.96797181306778,-221.69622954951268,-100.94137573007539,-151.11205555809644
163,-209.84457838816735,-164.14744935904898,-253.10352839030259,-146.5147220544893
164,-140.77662371928125,-144.2033375179072,-196.23043622013427,-119.14418514815236
165,-304.36773205251825,-118.72768915930621,-216.61920099596836,-206.23329939213656
166,-131.74359130799806,-100.91521155043897,-470.6878397838067,-155.35704420875257
167,-316.7362481949956,-141.22185052659165,-203.10414529846344,-108.54298409474109
168,-184.84570616946442,-147.01060267569696,-260.27272572557024,-142.5960347352883
169,-64.38508903681065,-128.25501325504007,-310.4184846983809,-108.84096642805653
170,-102.2492925632874,-133.9009128043308,-172.62615966594777,-167.29438358043507
171,-66.23328255442355,-152.58332797129725,-163.17998840225943,-133.49205137011867
172,-82.6072895856155,-177.16669629003766,-202.99820929943462,-165.7527054831188
173,-86.16994479047918,-123.79744536357688,-196.3408678084612,-99.73639982521752
174,-250.446740962559,-101.84507693748621,-152.06187663413306,-98.58216468319782
175,-232.92752770670842,-143.85446077438033,-292.82373910571175,-44.16084247542254
176,218.08680194652106,-137.0952633410366,-195.976215300305,-0.8861983225886405
177,-35.990660490511814,-261.4398311516724,-326.31352410388376,-134.32227878498443
178,-53.16561773545001,-176.22158948885635,-206.47909852084314,-194.0330615910405
179,-92.66301547471217,-219.62071233917007,-352.4430177240096,-220.0552316488662
180,-85.05179959986795,-141.6966723901338,-102.40717932294125,-157.9087034800119
181,-324.06511969548217,-154.4871976176422,-111.7223029652066,-116.29520322670106
182,-58.87895822969769,-235.76155057672116,-237.81960030920874,-108.97333607242246
183,-50.429893891551046,-148.92440039654164,-423.31948153015577,-107.08449579242074
184,-491.92429074403765,-179.75889316455522,-92.80928338202064,-231.3867069945406
185,-353.80347714324705,-356.2210419659864,-285.87302601079176,-142.4483880199705
186,-238.23907268926146,-372.59843903350054,-287.78557600731006,-20.046645737403622
187,-153.58364408565836,-150.81116649841942,236.66431521510225,-304.58512542949006
188,-251.36470019303437,-180.85408685169432,-209.2947844420589,-154.09163190227028
189,153.08711240164823,-368.0681011209346,-351.4961292612197,-229.78915863415827
190,-256.1179128185735,-126.37728123312465,-295.6670381564304,-138.71895134109587
191,-31.990146489438203,-155.13771795063496,-182.5872692088552,-95.2403755982242
192,-101.61631926310633,-148.31630122661517,-161.94374046474988,-147.26453283913395
193,-131.2395242419945,-104.13226673654196,-157.16884259281076,-100.16832826107262
194,-97.10933285275574,-166.95829958248345,-220.69572171210814,-108.97626364827863
195,-68.90799166710791,-93.9798708308402,-202.35787816965927,-252.59271107771679
196,-268.4997688239852,-86.45047021428891,-40.63836071984889,-151.38664402647666
197,211.8946333742339,15.073795287942119,-369.0288044710175,-147.6895325002603
198,-3.224071248486993,-96.19551591355192,-144.6743042344019,-105.93861990748033
199,205.1206518443901,-103.79377653848617,-100.65744884750147,-277.59582174944126
200,-75.83475755219887,-119.49996850575991,-243.6115912920112,-118.16024922820907
201,178.4290929046943,-118.1525357827934,-199.7795617026332,-152.9793538473515
202,-67.14011120807093,-51.47658284515812,-207.76015342481014,-27.797062510241417
203,220.49531507602893,-136.5056414777392,-450.1545471868871,-264.44125679454936
204,-929.614446603339,-318.9314244869653,-221.2100898121147,-29.284738890904237
205,147.3109671389861,-238.6846497500118,-143.64244624231327,-159.00780544334162
206,-95.32922408348972,-156.43307702410155,-98.5602270237945,-118.92123600605647
207,-105.56557580193899,-461.6690836237009,-119.0434824087021,31.99204928070418
208,-88.69888124358984,-123.26167741277199,-181.4506665528322,-97.33378625202951
209,-119.63815418955258,-100.66468106854818,-60.65887070973949,-136.7763641685907
210,-78.28799924038425,-168.16947654072445,14.705909629549751,-137.33931294209557
211,209.76817464401378,-124.03090992585308,-275.0604107388376,-172.00617506507447
212,-220.97645073890132,-145.44802623083726,-282.1154401080631,-211.02119875561328
213,-381.4418494786821,-141.2539488732698,-182.9008016013119,-98.54095629577262
214,-95.97949762128542,-138.98206858118718,-105.79592920272131,-450.4823340774646
215,-162.64228671302126,-84.7193555751224,-75.57764359335611,-268.24970287721914
216,-141.3587663021202,-170.5271767508351,-79.74035362833608,-204.08445936344634
217,-319.30709718103907,-129.55800427000827,20.239551879396956,-11.577203768457679
218,-121.56501792741042,-364.75223116508397,-126.83896581616436,-163.9878243903464
219,221.40168082383366,-581.7851943849923,-38.63389760444768,-171.20083294153187
220,-131.34192764540603,-603.5482598611288,-228.45416892800642,-235.78685924926958
221,-118.31458730830029,-157.29696011844192,-157.97832311374725,-107.84907579959778
222,-228.6486770406179,-111.27701287246217,-38.870536216610375,-135.33846952268107
223,-144.41605458201252,-105.41816433346546,-158.23974801443472,-120.95821368984028
224,-152.5597557765949,-116.29420606238685,-142.19357982610205,-142.54536272027454
225,-42.63339329658403,-157.02213017692907,-161.94276321185419,-117.29214237459982
226,-104.01898232051136,-91.3176689917244,-13.619459807659098,-139.22554084717893
227,-47.46724921831523,-113.97672069228925,-231.19574877082007,-153.67521441105316
228,-62.50643737374078,-117.02534277387454,-103.98310342621771,-234.76559155139566
229,-68.95327454401222,-305.27172010336005,-161.75866876172904,-119.38518284750748
230,-222.7363066556505,-85.83529664808461,-154.44769142775192,-153.96900607184767
231,-26.744770928912487,-144.90606764487836,-163.39546607223912,-162.18305060679745
232,-71.33784455159795,-166.16739542905182,-231.97516557703403,-464.8841410509068
233,-158.84823507812524,-116.78948706413594,-123.99931899003616,-444.1730282649707
234,-66.57580479318659,-144.2223493546506,-233.0878752176927,-158.241025250166
235,-101.20302166202241,-114.82887817565734,-136.17753373587922,-130.3056053372531
236,-12.07741901848216,-94.25054914594708,-121.28492916715894,-123.88824784788548
237,-66.43919802439893,-140.86779648373894,-243.18570106482065,-7.171844927293478
238,-46.495105476619486,-362.9951581685882,-161.98795073849536,-88.84044776226233
239,-77.61386455812243,-103.29951612656441,-147.0698984800212,-208.33666617793352
240,-82.56182399689226,-125.51447078974206,-227.09212948205652,-138.25889018980484
241,-122.59109010451118,-326.33647494904,-160.26599141899823,-468.28160495425936
242,158.01636548705162,-136.5081504283383,-230.9303116275034,-143.60740823006185
243,-354.1143511423404,-106.26382225026731,-211.78186832194,-226.412368712699
244,147.21711839604728,-143.20433248157198,-273.728235776302,-182.31483879481968
245,8.959598196437952,-110.93348149719107,-93.9283421806869,-156.98188205077008
246,-69.14241507686994,-122.02972384451765,-155.83848876506693,-240.39488723650754
247,-61.68711897623256,-97.65141816187486,-297.29178301250727,-181.5850820830024
248,194.84753175846308,-149.7148306112391,-149.47547337445576,-437.40855075667577
249,-42.87373114581571,-120.43768327567312,-194.74118353281744,-150.2769753051279
250,-320.6233108594361,-466.1369086904604,-191.13679422181667,-132.7601458334523
251,-67.11147646965338,-134.2440238056535,-145.1167918970511,-104.24548162304055
252,146.01722583752786,-523.5268929376055,-128.25730781398613,-233.3996825894725
253,-24.639476912536495,-125.1254544041424,-162.68203419681376,-119.70737664374755
254,25.481671604974935,-131.49880902826817,-84.04663124694537,-127.09478025526943
255,-77.30293413913155,-283.3451311599768,-421.1047627658901,-190.240608801609
256,-13.43478351899958,-125.8090130537549,-118.75968440621583,-405.82750029421874
257,-33.662402933539326,-122.66489966021695,-217.880610211524,-137.30979608494977
258,191.3658542154197,-490.325130975661,-227.28531050435853,-98.806608319926
259,25.94718267270551,-589.3023202280772,-458.7772359613223,-327.355386532973
260,-326.25500069608165,-447.5511237052557,-162.77141807668596,-154.45651461266118
261,-248.97743084240736,-103.64393923163838,-144.52005689037728,-118.03069159292093
262,-180.43553849910137,-163.3885468367429,-165.68502413430684,-389.63156678412105
263,-109.18878128151137,-125.20393163738822,-159.71833225916862,-148.89299608820448
264,-308.6492910731138,-64.88921793253667,-206.8449744648252,-306.943598761169
265,-115.11361463572737,-8.754286903426546,-97.07816678153512,-138.10091466214178
266,-471.14343688673785,-105.35224740545941,-183.9960660941672,-114.64949206773181
267,-46.3598852675552,-123.57352906126431,-150.5484861095839,-207.65931243349962
268,-49.997620960365865,-403.33456063013125,-248.5831166908654,-121.29286240578406
269,-264.8301971259509,-245.14459637529413,-146.04666842269557,-138.20783298136178
270,134.46226670437318,-136.2802070772179,-214.26164171335176,-177.6109410675209
271,-282.01070975134314,-397.39510123187773,-242.10527320266291,-116.34833134809787
272,-136.3599756910961,-130.8340175617173,-188.73470076141112,-174.42853871961177
273,-334.3043712056716,-180.9282807220123,-149.12288051078679,-107.02610302133291
274,-48.26132624538046,-130.30677553322903,-172.04621481719647,-129.05194306599898
275,-412.6276998092453,-129.0444499335124,-159.65425057944634,-307.5021001293116
276,-96.83114025259846,-315.22603269162624,-99.44510076682106,7.497796378874966
277,-197.39039741247763,-93.87196851753015,-130.49348357170808,-121.14597466004619
278,-354.7653507797535,-319.6378413935056,-164.6979221811416,-205.82142466851758
279,-118.41752771319139,-77.0855069467838,-67.38957279644512,-242.68461966924096
280,141.35486148657196,-197.69954921632382,-215.58006593644984,-531.1216102161226
281,-94.61585095111356,-347.09330204935213,-66.691994847242,-270.6888072373969
282,-103.85598494414599,-168.87137956156056,-204.04440368994864,-306.61579860228085
283,-377.4221234167041,-88.24990437912523,-122.48342320834718,-478.22094434217473
