,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
0,53.0,116.0,84.0,67.0
1,74.0,63.0,64.0,77.0
2,92.0,210.0,52.0,83.0
3,120.0,81.0,73.0,52.0
4,84.0,69.0,109.0,91.0
5,90.0,142.0,61.0,69.0
6,151.0,64.0,65.0,57.0
7,91.0,72.0,61.0,91.0
8,65.0,68.0,86.0,75.0
9,52.0,202.0,56.0,71.0
10,144.0,65.0,72.0,75.0
11,150.0,86.0,65.0,52.0
12,148.0,84.0,76.0,90.0
13,135.0,69.0,78.0,99.0
14,101.0,629.0,101.0,85.0
15,77.0,140.0,98.0,74.0
16,236.0,137.0,99.0,80.0
17,363.0,153.0,93.0,64.0
18,90.0,71.0,61.0,55.0
19,91.0,76.0,90.0,56.0
20,413.0,61.0,89.0,75.0
21,310.0,69.0,91.0,87.0
22,136.0,71.0,67.0,53.0
23,192.0,66.0,78.0,65.0
24,278.0,52.0,304.0,79.0
25,144.0,59.0,127.0,58.0
26,150.0,84.0,84.0,72.0
27,274.0,59.0,148.0,69.0
28,107.0,171.0,111.0,85.0
29,138.0,151.0,128.0,62.0
30,224.0,65.0,96.0,93.0
31,215.0,178.0,130.0,88.0
32,119.0,90.0,141.0,53.0
33,160.0,181.0,114.0,63.0
34,162.0,53.0,424.0,51.0
35,131.0,157.0,163.0,51.0
36,143.0,186.0,194.0,85.0
37,221.0,62.0,90.0,67.0
38,110.0,83.0,140.0,69.0
39,186.0,116.0,112.0,76.0
40,631.0,95.0,196.0,76.0
41,225.0,55.0,119.0,53.0
42,231.0,97.0,106.0,76.0
43,215.0,53.0,123.0,56.0
44,192.0,73.0,74.0,56.0
45,138.0,110.0,182.0,83.0
46,229.0,105.0,104.0,64.0
47,236.0,59.0,114.0,61.0
48,220.0,59.0,150.0,62.0
49,128.0,111.0,63.0,55.0
50,302.0,76.0,204.0,68.0
51,239.0,136.0,87.0,79.0
52,203.0,111.0,311.0,80.0
53,94.0,98.0,194.0,81.0
54,261.0,71.0,357.0,111.0
55,227.0,59.0,58.0,77.0
56,166.0,130.0,182.0,80.0
57,164.0,53.0,196.0,80.0
58,250.0,100.0,136.0,84.0
59,188.0,64.0,172.0,51.0
60,198.0,103.0,146.0,96.0
61,228.0,55.0,280.0,58.0
62,176.0,67.0,272.0,54.0
63,195.0,98.0,271.0,80.0
64,218.0,94.0,136.0,67.0
65,163.0,76.0,65.0,83.0
66,181.0,60.0,184.0,81.0
67,210.0,70.0,100.0,69.0
68,273.0,131.0,150.0,69.0
69,288.0,128.0,88.0,58.0
70,254.0,59.0,67.0,53.0
71,252.0,108.0,97.0,88.0
72,100.0,109.0,80.0,86.0
73,172.0,68.0,247.0,63.0
74,126.0,58.0,131.0,84.0
75,97.0,102.0,85.0,83.0
76,348.0,60.0,142.0,61.0
77,100.0,65.0,112.0,83.0
78,78.0,61.0,213.0,79.0
79,194.0,114.0,54.0,79.0
80,325.0,59.0,159.0,83.0
81,109.0,126.0,259.0,63.0
82,327.0,59.0,92.0,65.0
83,443.0,57.0,85.0,72.0
84,116.0,88.0,190.0,52.0
85,73.0,85.0,147.0,78.0
86,304.0,58.0,161.0,92.0
87,83.0,97.0,90.0,73.0
88,80.0,102.0,138.0,71.0
89,143.0,52.0,105.0,88.0
90,434.0,95.0,193.0,92.0
91,241.0,97.0,170.0,71.0
92,347.0,85.0,117.0,75.0
93,77.0,103.0,140.0,70.0
94,221.0,83.0,127.0,80.0
95,398.0,103.0,154.0,77.0
