,Initial RAR 0.3,Initial RAR 0.4,Initial RAR 0.5,Initial RAR 0.6,Initial RAR 0.7
0,-583.7271242875291,-154.96589592931548,-105.46745581916358,-85.9658227579223,-92.4375744258112
1,-621.956468057203,-137.15577270860976,-162.80434201573195,-283.85278051817016,-220.75447186087797
2,-286.8567089332286,-309.35213714970394,-310.82163428584767,-153.2619499776781,-273.9280827280786
3,-485.59122536160646,-180.63980428758913,-218.3192439002035,-138.070409908954,-310.06770807527687
4,-292.6213812076355,-114.85797082114951,-286.83131031875865,-172.28160716449364,-192.3690491570738
5,-592.0902282829857,-190.68043610241443,-69.88234896703354,-377.53060212022785,-283.0311083057617
6,-493.6945133092601,-245.9830661384569,-14.51734980624282,-315.8114143760863,-144.11197152346963
7,-593.8263699734686,-80.98822319098305,-112.1447322883519,-222.16464924309673,-376.5129349723077
8,-480.93291794809494,-140.61388441720376,-134.31113923653476,-238.4217638508726,-227.05931627792438
9,-582.2937133097219,-300.9870746870314,-278.5403673056922,-481.2804581211457,-352.5763181037016
10,-405.5353681834789,-65.68624847222449,-248.2771200991527,-95.65370996111747,-269.92699931817225
11,-577.4948705101917,-127.56305565205547,-334.36152673195613,-88.5282492449167,-259.849730836307
12,-680.5723806744577,-202.8691572260302,-313.39365729933473,-366.1142140232851,-419.79210450365497
13,-699.9400679366537,-314.1836385845935,-190.31807232128116,-409.23739778321135,-386.9601204579314
14,-207.51161969300097,-377.3925678490245,-326.1856691353268,-272.9813971039537,-215.83271261210194
15,-130.62245111033928,-228.90658059966802,-196.91780542207323,-457.8524210096533,-411.5385254643721
16,-65.33310875682525,-494.6719654437574,-2.8364175068752076,-279.8035983467061,-267.62509931227646
17,-75.7570428205169,-154.8457946313357,-190.186919496703,-329.9795245713599,-313.28734366152753
18,-146.0290172251706,-264.0840732671252,-48.900111177650615,-194.60536069555343,-225.53087084213365
19,-106.03069411492498,-83.3233680838853,-54.20102798745832,-135.37683485968387,-196.60199800353055
20,-118.45031161142995,-264.221789445579,-181.81314121010462,-244.5262473300048,-115.18541169594758
21,-122.88057113552719,-166.11208694775675,-178.9753709190582,-87.56110960064163,-133.4061864816369
22,-130.6290394206564,-238.52198853327076,-142.608385529701,-138.87013719930792,-457.35576407801403
23,-64.96675488533928,-82.44233451315667,-84.74977687039183,-166.0932199838005,-430.242266725467
24,-120.60181061472456,-371.4173617740358,-235.87605949042805,-83.02778584898988,-403.42791454612905
25,-147.36249332443344,-86.13486532510197,-327.4746236992942,-235.04484347383493,-362.8987626535367
26,-103.15330853559217,-34.35987606437506,-452.1017388000388,-40.47820312452587,-358.7186882343542
27,-424.589957870017,-263.9303413830469,-110.4087864450746,-45.44374518888573,-144.19508473646408
28,-109.07939165473239,-143.44753689241378,-192.82788159505105,-229.4842224500954,-264.3151544422542
29,-271.4074061997542,-106.70755650273347,-247.12248908897425,-102.83223774430031,-206.09542378321257
30,-163.92184420054033,-248.2937443209833,-326.19123453727116,-189.43990237189882,-152.66950161412163
31,-159.76961507127385,-214.56065187171794,-307.344703650426,-43.513616452862024,-232.98563945057847
32,-253.56245166182774,-47.38174054112005,-366.60172989014865,-234.1249687919192,-237.75897947075953
33,-177.17945609559814,-327.07596118834954,-384.0965970664317,-193.92817293260939,-154.29780816574413
