,Initial RAR 0.3,Initial RAR 0.4,Initial RAR 0.5,Initial RAR 0.6,Initial RAR 0.7
0,76.0,53.0,57.0,78.0,105.0
1,66.0,138.0,58.0,64.0,78.0
2,58.0,80.0,80.0,85.0,94.0
3,77.0,68.0,72.0,73.0,83.0
4,63.0,98.0,83.0,93.0,66.0
5,74.0,95.0,91.0,56.0,107.0
6,59.0,86.0,80.0,68.0,67.0
7,62.0,77.0,105.0,78.0,85.0
8,57.0,75.0,65.0,74.0,68.0
9,76.0,68.0,64.0,89.0,109.0
10,83.0,90.0,68.0,78.0,84.0
11,53.0,81.0,93.0,82.0,90.0
12,52.0,120.0,75.0,81.0,102.0
13,79.0,186.0,67.0,93.0,103.0
14,87.0,172.0,274.0,98.0,191.0
15,74.0,103.0,110.0,114.0,96.0
16,57.0,131.0,117.0,142.0,119.0
17,76.0,185.0,98.0,117.0,146.0
18,60.0,281.0,96.0,100.0,355.0
19,53.0,74.0,96.0,202.0,168.0
20,90.0,82.0,108.0,281.0,91.0
21,91.0,125.0,135.0,90.0,215.0
22,103.0,124.0,154.0,140.0,266.0
23,89.0,95.0,147.0,115.0,278.0
24,273.0,146.0,258.0,134.0,101.0
25,61.0,138.0,433.0,134.0,149.0
26,52.0,142.0,118.0,143.0,165.0
27,77.0,118.0,1000.0,91.0,187.0
28,110.0,183.0,135.0,85.0,225.0
29,74.0,245.0,409.0,103.0,131.0
30,96.0,271.0,216.0,88.0,196.0
31,95.0,150.0,327.0,131.0,101.0
32,84.0,226.0,182.0,296.0,203.0
33,91.0,157.0,406.0,137.0,220.0
34,105.0,168.0,218.0,124.0,946.0
35,65.0,316.0,189.0,109.0,419.0
36,69.0,218.0,148.0,233.0,186.0
37,61.0,203.0,225.0,158.0,135.0
38,80.0,112.0,251.0,125.0,98.0
39,79.0,216.0,92.0,265.0,1000.0
40,107.0,218.0,312.0,317.0,193.0
41,105.0,148.0,78.0,227.0,284.0
42,51.0,153.0,219.0,274.0,217.0
43,62.0,152.0,126.0,175.0,172.0
44,53.0,503.0,251.0,123.0,1000.0
45,163.0,255.0,177.0,196.0,405.0
46,79.0,237.0,126.0,147.0,729.0
47,78.0,145.0,183.0,214.0,399.0
48,148.0,348.0,282.0,238.0,1000.0
49,138.0,210.0,181.0,284.0,134.0
50,218.0,242.0,260.0,536.0,371.0
51,175.0,156.0,205.0,231.0,577.0
52,62.0,196.0,174.0,274.0,425.0
53,158.0,270.0,152.0,313.0,183.0
54,146.0,191.0,214.0,296.0,188.0
55,64.0,241.0,160.0,333.0,249.0
56,113.0,152.0,264.0,176.0,180.0
57,203.0,79.0,236.0,1000.0,1000.0
58,54.0,147.0,134.0,141.0,324.0
59,51.0,75.0,330.0,182.0,297.0
60,204.0,315.0,282.0,298.0,1000.0
61,244.0,198.0,309.0,433.0,246.0
62,65.0,238.0,245.0,200.0,1000.0
63,57.0,265.0,223.0,241.0,182.0
64,492.0,287.0,355.0,264.0,1000.0
65,586.0,296.0,214.0,219.0,528.0
66,191.0,429.0,222.0,225.0,145.0
67,154.0,312.0,232.0,259.0,283.0
68,255.0,244.0,296.0,276.0,87.0
69,166.0,331.0,582.0,191.0,230.0
70,200.0,281.0,159.0,295.0,99.0
71,77.0,306.0,122.0,179.0,1000.0
72,126.0,314.0,276.0,230.0,332.0
73,128.0,191.0,348.0,286.0,1000.0
74,79.0,281.0,230.0,243.0,303.0
75,252.0,322.0,264.0,248.0,257.0
76,60.0,149.0,187.0,452.0,184.0
77,250.0,426.0,132.0,244.0,1000.0
78,164.0,383.0,288.0,372.0,262.0
79,72.0,156.0,459.0,303.0,1000.0
80,277.0,107.0,173.0,287.0,725.0
81,66.0,250.0,352.0,305.0,293.0
82,57.0,428.0,287.0,247.0,822.0
83,131.0,154.0,201.0,213.0,132.0
84,64.0,260.0,180.0,405.0,347.0
85,292.0,394.0,189.0,218.0,251.0
86,53.0,94.0,198.0,181.0,1000.0
87,252.0,274.0,536.0,204.0,527.0
88,340.0,247.0,420.0,308.0,316.0
89,92.0,442.0,173.0,233.0,1000.0
90,65.0,242.0,169.0,333.0,282.0
91,233.0,203.0,491.0,270.0,391.0
