,Training Times Before Weight Copy = 50,Training Times Before Weight Copy = 100,Training Times Before Weight Copy = 1000,Training Times Before Weight Copy = 10000
0,-485.94274452740876,-536.8579640106716,-654.9580169013088,-628.0722321440443
1,-501.22978239446866,-1312.221757072261,-638.5047470570789,-87.0905293147315
2,-713.8932613212102,-605.6156373698533,-540.5271568610717,-490.94338769714676
3,-461.0456110651774,-692.2836269098642,-577.2153732240831,-90.94098312574431
4,-509.53525035978066,-2140.653310701825,-701.0898279009614,-774.1242079287794
5,-516.4163866276823,-456.79459776432304,-525.1490204340173,-518.7451915993781
6,-389.43008837829075,-809.0897138268408,-667.109096202424,-704.4387381803476
7,-510.95145090391355,-218.8756232277159,-624.523669827693,-611.9631216532932
8,-492.24159932397805,-180.19904807074607,-572.9332367643676,-132.18223519011224
9,-476.2862745689297,-228.73608735824385,-629.689876319606,-644.2923583150911
10,-645.6486648852436,-225.30350603875598,-513.8369521329759,-132.36542428304216
11,-771.7290820554674,-313.1457268665051,-615.3532037559672,-268.3810753190515
12,-574.1918855625363,-139.15106305596083,-701.6271881820655,-447.6296444218153
13,-380.4248608507628,-106.57238989236578,-500.00475375008614,-305.590683921105
14,-393.27825882205036,-154.73370696862975,-416.3571414430806,-287.4323501133376
15,-487.40664393155026,-339.39396115253794,-110.92182584006696,-421.0678959771718
16,-246.1343428716614,-128.3876380528486,-139.60099839109654,-249.2196814493337
17,-408.35996961080815,-143.30774399136277,-151.04629668601012,-74.19474788911586
18,-119.78956742157763,-148.3926190906541,-170.03131857659477,-68.83775809496164
19,-117.8676437682642,-189.79739938365924,-114.35796020214823,-96.17249062472428
20,-105.31120095362306,-260.37456342901544,-119.41644854594097,-272.7347139832909
21,-156.77805585275598,-17.4316569210782,-752.3945435580392,-75.35907100121474
22,-113.73277582727704,-100.42718102579278,-143.6565925654373,74.54275006164488
23,-126.98095671834199,-111.26898129117112,-167.67713247901526,-113.06260820925151
24,-173.3076162418689,-126.83274114445902,-289.56378158166285,-190.74377318279232
25,-38.346934554901324,-123.1630941920709,-39.56871134187555,-145.57724926881536
26,-602.3372654380223,-130.47901265047074,-298.2898888961305,-149.00441877283896
27,-131.14773501128678,-110.55244764718768,-50.19288083918638,-191.06389528274872
28,-69.08943719713002,-146.2298009476758,-154.03576977180225,-158.51906911627913
29,-165.3471283787691,-145.82839154342884,-175.45847519411853,-140.8604981132708
30,-99.68957089641748,-146.42763003875913,-207.14755191379015,-9.678415596868888
31,-107.2749365871149,-242.07418590091902,-196.49587842779175,-187.39113228890176
32,-144.8102666074592,-123.11102387244182,-170.72727780150532,-208.6451741337428
33,-115.69489289965871,-157.82594800295962,-135.16599069166614,-191.49077145824222
34,-63.48477702162431,-188.8269980592331,-173.27596987684592,-216.98966886651235
35,2.2252727510535664,-151.6035977671683,-157.73708759277417,-188.86201839190176
36,-58.52714216665146,-136.06841591046242,-271.73023561313113,-256.97085668304953
37,-107.51011632565113,-112.75037821915697,-205.3468469575763,-85.95801554569707
38,-223.6300410851391,-162.49033344610805,-279.638829321609,-167.67907170187772
39,-122.2136142080515,-135.95288658812078,-208.85149646981438,-192.72187721014313
40,-299.7067674433416,-233.40377049530156,-218.95558526669444,-178.4802365584261
41,-161.69670646892263,-208.5533155081914,-258.7400169427169,-177.62377394110518
42,-140.1746238261507,-124.36682645814736,15.08120143295784,-260.5998173940794
43,-304.74623455573294,-111.11057837793322,-277.9909497932776,-192.13129099672457
44,-130.0754104338692,-173.89609660792064,-167.5859965936716,-225.30795489335662
45,-301.5852393360921,-127.62897955934125,-204.98722509321183,-22.744125453750925
46,-262.7682622162423,-138.40035739765156,-360.3916252666039,-355.0252553345857
47,-237.9442948554749,-146.53202694807044,-235.771148791097,-158.2812824842212
48,-198.83895124598686,-109.37213967361728,-175.85932264928834,-164.68117966689783
49,-234.26976958077503,-118.32068701715613,-261.9952342474859,-172.63905229429537
50,-173.96532726421475,-117.05356872548236,-272.0525421588857,-233.34714134974186
51,-528.1354256478253,-81.75012756708853,-182.27461740885735,-384.1279163717518
52,-131.43648810442693,-113.72146700575217,-339.85626648044314,-192.45787314109634
53,-408.69216185520554,-88.84594701040004,-503.16112335657704,-203.66654861432855
54,-481.89449768055874,-150.07521339286887,-426.89433250728877,-133.71591598407977
55,-320.7472165157023,-176.18417927985288,-238.00159763780388,-84.17429370391218
56,-211.11187255979922,-296.3583207021409,-420.66349418683933,-204.49117969393777
57,-475.46045658960503,-101.35258086965275,-346.04580342029055,-200.71144667504717
58,-161.01315031299725,-225.70564270488256,-335.4258691134909,-234.98413939004405
59,-161.8859271266135,-418.518292780277,-160.1046034060612,-166.41297810783942
60,-131.6948658072991,-1441.5218669251453,-335.6660335066861,-212.59903283387177
61,-401.97101442112546,-600.2721787600254,-153.77284318997897,-202.4460334697644
62,-281.73982765129426,-720.2725110616625,-385.4186538347486,-237.61640525064522
63,-292.13931323752524,-182.65199574939038,-161.6006050524843,-161.40093691369202
64,-397.0646450808069,-530.4349475018885,-248.78612299713575,-152.3682557327409
65,-747.5507172921924,-1175.093758175425,-203.21942912524554,-273.36520500763356
66,-302.49881440229734,-624.7077720509252,-322.5113922365325,-165.1140623856321
67,-156.02810315084523,-1156.29897893443,-325.7637514652142,-282.98816642328427
68,-341.27797642269536,-705.7068387905662,-183.217624144688,-182.49410776566322
69,-358.02770531753936,-639.5535807138365,-347.80448428465263,-193.5238648910953
70,-336.08939371494847,-1451.2841313976821,-142.61261504728213,-220.93930188537485
71,-180.73764090997614,-1394.5565524082788,-208.57673133767526,-261.47335548042605
72,-243.76437280432214,-856.8336222073237,-142.04148275739686,-278.64480085525526
73,-214.83390001538248,-990.9313789542915,-188.35229612666222,-310.0997951063735
74,-990.0929906805487,-140.95398500996063,-136.14297438463407,135.29293268191753
75,-772.3635992609408,-7.126906257515117,-267.2360983738281,-645.187475237704
76,-938.4114315202271,-98.00528520670653,-357.8336708091265,-170.7250915846416
77,-977.8848339444248,-299.96930839204003,-149.21495022028353,-1008.0176411367542
78,-184.60109152375514,-232.45796915910273,-393.96004490966584,-598.7519093900746
79,-269.8013564708082,-122.9259614849527,-167.3410411420188,-584.2097106016912
80,-300.382932469504,-476.2476980044006,-143.99852809447503,-108.12663012190436
81,-288.5049352225084,-141.8547202561354,-264.23606017840393,-586.034560578476
82,-180.422752466387,-226.63578362987374,-119.00118311950895,-169.48333304587604
83,-432.22195654614484,-293.11694654727376,-187.5721815463665,-352.1209521297352
84,-355.4715615152414,-495.1742391108811,-273.3299546177884,-184.6809103341626
85,-279.8603505326565,-165.03339686680394,-233.8351869495039,-162.20621297608398
86,-173.8288236673309,-147.306200900992,-155.6189650876643,-219.3927440932359
87,-150.01048483962816,-397.56261313163736,-479.3518004019591,-866.6031655692494
88,-238.64518874561247,-145.5617072477053,-173.60873244396174,-231.2377608554558
89,-354.13769047026824,-147.65228864394555,-174.78938050623128,-189.29750067997216
90,-347.6617818240495,-681.2832025377022,-174.83874774266445,-156.2636190217708
91,-357.8770509993867,-796.5048487190467,-200.9719810682333,-803.7520125619569
92,-352.5799820694499,-165.2438744737679,-152.55599178195058,-151.88430246797645
93,-234.061690445319,-169.69290486034836,-155.20959986083392,-167.84316829054643
94,-332.58359655887574,-128.7670619969947,-357.4947372108108,-242.00817443369124
95,-133.7628935519184,-88.60916152039336,-244.58372485836625,-248.01238079432426
96,-832.2245710206612,-158.3026990736526,-374.9285344320946,-220.39337326920824
97,-447.2996494743489,-152.8725502997757,-114.40797487469038,-175.9864286184981
98,-216.80504039930074,-288.61049738970115,-186.13471687671048,-947.3456625588972
99,-570.2142300738087,-140.09280043855796,-120.3267766550587,-240.5989509600642
100,-578.6265311933935,-160.35861603871905,-138.69435640789405,-196.31604222402265
101,-312.4779158297012,-407.653717850624,-99.46329328323968,-702.9584043297715
102,-359.17403801577774,-282.9378685104746,-476.8433069158334,-817.0859753359697
103,-393.66529465627616,-131.25256220847888,-148.26382950490802,-235.85871792611573
